CCG Code,Practice Code,Practice Name,GP Prevalence
NA,E85755,NORTH HYDE MEDICAL PRACTICE,11.5
NA,P86627,TRIPLE H PRACTICE,0.9
99Q,L83078,ST. LUKES MEDICAL CENTRE,7.6
99Q,L83126,BISHOPS PLACE SURGERY,7.1
99Q,L83103,CORNER PLACE SURGERY,7.0
99Q,L83666,BUCKLAND SURGERY,6.9
99Q,L83607,OLD FARM SURGERY,6.8
99Q,L83145,RICHMOND HOUSE SURGERY,6.6
99Q,L83149,CHERRYBROOK MEDICAL CENTRE,6.6
99Q,L83667,OLD MILL SURGERY,6.5
99Q,L83122,GROSVENOR ROAD SURGERY,6.5
99Q,L83148,CHILLINGTON HEALTH CENTRE,6.4
99P,L83647,HATHERLEIGH MEDICAL CENTRE,7.6
99P,L83663,BLACK TORRINGTON SURGERY,7.5
99P,L83080,ARMADA SURGERY,7.3
99P,L83073,BRANNAMS MEDICAL CENTRE,7.3
99P,L83626,SALTASH ROAD SURGERY,7.3
99P,L83054,TOWNSEND HOUSE MEDICAL CENTRE,6.9
99P,L83115,WHIPTON SURGERY,6.8
99P,L83107,CROWNHILL SURGERY,6.8
99P,L83074,STIRLING ROAD SURGERY,6.8
99P,L83048,ROBOROUGH SURGERY,6.7
99N,J83011,GIFFORDS PRIMARY CARE CENTRE,6.5
99N,J83619,COURTYARD SURGERY,6.4
99N,J83039,NORTHLANDS SURGERY,6.2
99N,J83639,ST. DAMIAN'S SURGERY,6.1
99N,J83046,SPA MEDICAL CENTRE,6.0
99N,J83629,SILTON SURGERY,6.0
99N,J83060,MERE SURGERY,5.9
99N,J83048,ST. MELOR HOUSE SURGERY,5.8
99N,J83042,ROWDEN SURGERY,5.8
99N,J83034,LANSDOWNE SURGERY,5.8
99M,J82181,MAYFIELD MEDICAL CENTRE,6.1
99M,J82125,JENNER HOUSE SURGERY,5.9
99M,J82049,HARTLEY CORNER SURGERY,5.7
99M,J82015,GIFFARD DRIVE SURGERY,5.7
99M,J82142,THE BORDER PRACTICE,5.7
99M,H81097,O'DONNELL & PARTNERS,5.6
99M,J82030,VICTORIA PRACTICE,5.6
99M,J82066,SOUTHLEA GROUP PRACTICE,5.3
99M,J82052,THE OAKLANDS PRACTICE,5.2
99M,J82178,PRINCES GARDENS SURGERY,5.0
99K,G81053,ROWE AVENUE SURGERY,8.1
99K,G81100,MERIDIAN SURGERY,7.7
99K,G81016,QUAYSIDE MEDICAL PRACTICE,7.1
99K,G81692,THE CENTRAL SURGERY,5.9
99K,G81055,SAXONBURY HOUSE SURGERY,5.8
99K,G81061,CHAPEL STREET SURGERY,5.3
99K,G81035,RIVER LODGE SURGERY,5.2
99K,G81627,FOXHILL MEDICAL CENTRE,5.2
99K,G81021,SCHOOL HILL MEDICAL PRACTICE,5.1
99K,G81088,HEATHFIELD SURGERY,5.1
99J,G82793,ALLINGTON PARK,9.0
99J,G82641,WALLIS AVENUE,6.9
99J,G82065,DR SINHA GC,6.6
99J,G82085,SNODLAND MEDICAL PRACTICE,6.2
99J,G82234,PHOENIX,6.1
99J,G82754,HADLOW MEDICAL CENTRE,6.1
99J,G82137,ST. ANDREWS MEDICAL CENTRE,5.9
99J,G82055,NORTH RIDGE MEDICAL PRACTICE,5.9
99J,G82691,LANGLEY,5.9
99J,G82118,PADDOCK WOOD,5.9
99H,H81627,COX LANE SURGERY,6.7
99H,H81118,AURIOL MEDICAL PRACTICE,6.5
99H,H81618,MOLEBRIDGE PRACTICE,5.6
99H,H81656,SHADBOLT PARK HOUSE SURGERY,5.6
99H,H81613,STONELEIGH SURGERY,5.5
99H,H81091,SPRING STREET SURGERY,5.4
99H,H81106,NORTH HOLMWOOD SURGERY,5.3
99H,H81081,TADWORTH MEDICAL CENTRE,5.2
99H,H81078,GLENLYN MEDICAL CENTRE,5.0
99H,H81071,ASHLEY CENTRE SURGERY,5.0
99G,F81176,DR NK SHAH,7.4
99G,F81147,DR GEORGE,7.0
99G,F81200,DR SATHANANDAN,6.7
99G,F81209,DR WEEKS,6.6
99G,F81223,DR MALIK,6.6
99G,F81003,DRS VERGHESE & KHAN,6.5
99G,F81649,DR SCHEMBRI,6.3
99G,F81656,DR VASHISHT,6.3
99G,F81676,DR KONGAR,6.3
99G,F81128,DR ZAIDI,6.2
99F,F81661,LEIGH BECK SURGERY,8.0
99F,F81096,OAKLANDS SURGERY,7.8
99F,F81699,QURESHI PRACTICE,7.3
99F,F81205,GHAURI PRACTICE,7.3
99F,F81618,HIGH ROAD FAMILY DOCTORS,6.9
99F,F81061,CONNER & PARTNERS,6.5
99F,F81051,DR CHAVDA & PARTNERS,6.5
99F,F81070,GRAFTON SURGERY,6.4
99F,F81739,THE ISLAND SURGERY,6.4
99F,F81007,"DR PUZEY,DR KOTHARI AND DR NANDA",6.4
99E,Y00469,DR MA SIMS' PRACTICE,9.7
99E,Y00468,DIPPLE MEDICAL CENTRE,8.4
99E,F81060,DR NG NEWPORT'S PRACTICE,8.1
99E,F81158,DR NASAH & PARTNERS,7.7
99E,Y00758,DR JO ARAYOMI'S PRACTICE,7.1
99E,F81186,DR KK ABRAHAM'S PRACTICE,7.1
99E,F81168,SOUTHVIEW PARK SURGERY,6.7
99E,F81710,DR HS RAO'S PRACTICE,6.6
99E,F81151,MALLING HEALTH - DIPPLE MEDICAL CENTRE,6.5
99E,F81743,WICKFORD PMS PRACTICE,6.5
99D,C83063,LONG SUTTON MEDICAL CENTRE,8.3
99D,C83036,GOSBERTON MEDICAL CENTRE,8.1
99D,C83039,MOULTON MEDICAL CENTRE,7.5
99D,C83022,MUNRO MEDICAL CENTRE,7.0
99D,C83065,LITTLEBURY MEDICAL CENTRE,6.3
99D,C83003,BEECHFIELD MEDICAL CENTRE,6.2
99D,C83631,PENNYGATE SURGERY,6.1
99D,C83617,ABBEYVIEW SURGERY,5.9
99D,C83614,SUTTERTON SURGERY,5.8
99D,C83017,ST. MARY'S MEDICAL CENTRE,5.6
99C,A87015,APPLEBY SURGERY,8.1
99C,A87027,GARDEN PARK SURGERY,7.9
99C,A87002,SPRING TERRACE HEALTH CENTRE,6.9
99C,A87612,WELLSPRING MEDICAL PRACTICE,6.8
99C,A87017,WOODLANDS PARK HEALTH CENTRE,6.8
99C,A87013,BEWICKE MEDICAL CENTRE,6.6
99C,A87012,WIDEOPEN MEDICAL CENTRE,6.4
99C,A87029,PARK ROAD MEDICAL PRACTICE,6.3
99C,A87019,NELSON MEDICAL GROUP,6.3
99C,A87014,EARSDON PARK MEDICAL PRACTICE,6.2
99A,N82621,SPEKE NEIGHBOURHOOD HEALTH CENTRE,8.0
99A,N82001,THE MARGARET THOMPSON MEDICAL CENTRE,7.8
99A,N82019,LANGBANK MEDICAL CENTRE,7.8
99A,N82109,SPEKE NEIGHBOURHOOD HEALTH CENTRE,7.7
99A,N82082,DR PRASAD'S PRACTICE,7.7
99A,N82034,THE VILLAGE SURGERY,7.2
99A,N82084,GATEACRE BROW SURGERY,7.2
99A,N82002,YEW TREE CENTRE,6.9
99A,N82078,J.W. ROBERTS,6.8
99A,N82663,DR K PRAMANIK'S PRACTICE,6.8
12F,N85614,MANTGANI AB & PARTNERS (SEABANK),8.1
12F,N85034,"PARKFIELD MEDICAL CENTRE, HAWTHORNTHWAITE EM",7.5
12F,N85634,"VITTORIA MEDICAL CENTRE, MURTY KS",7.2
12F,N85009,"COMMONFIELD RD SURGERY, BRODBIN C",7.0
12F,N85012,"ST. GEORGES MEDICAL CENTRE, RUDNICK S",7.0
12F,N85625,MANTGANI AB & PARTNERS (MIRIAM),7.0
12F,N85619,MANTGANI AB & PARTNERS (EARLSTON),7.0
12F,N85629,"EGREMONT MEDICAL CENTRE, HICKEY JJM",6.9
12F,N85029,"FENDER WAY HEALTH CENTRE, REAM JE",6.8
12F,N85013,"UPTON GROUP PRACTICE, LARKIN PS",6.8
12D,J83059,THE LAWN MEDICAL CENTRE,7.2
12D,J83033,WHALEBRIDGE PRACTICE,7.1
12D,J83031,MOREDON MEDICAL CENTRE,7.0
12D,J83038,KINGSWOOD SURGERY,6.9
12D,J83024,PRIORY ROAD MEDICAL CENTRE,6.8
12D,J83027,HAWTHORN MEDICAL CENTRE,6.7
12D,J83646,PARK LANE PRACTICE,6.4
12D,J83002,WESTROP SURGERY,6.2
12D,J83025,GREAT WESTERN SURGERY,6.1
12D,J83009,RIDGEWAY VIEW FAMILY PRACTICE,5.8
12A,L81047,WEST WALK SURGERY,5.7
12A,L81046,LEAP VALLEY SURGERY,5.6
12A,L81036,CONISTON MEDICAL PRACTICE,5.6
12A,L81134,THE OAKS MEDICAL PRACTICE,5.4
12A,L81642,WELLINGTON ROAD SURGERY,5.4
12A,L81055,ORCHARD MEDICAL CENTRE,5.4
12A,L81063,KINGSWOOD HEALTH CENTRE,5.4
12A,L81117,PILNING SURGERY,5.3
12A,L81026,CHRISTCHURCH FAMILY MEDICAL CENTRE,5.3
12A,L81014,FROME VALLEY MEDICAL CENTRE,5.2
11X,L85016,BURNHAM MEDICAL CENTRE,7.0
11X,L85030,"ESSEX HOUSE MEDICAL CENTRE, CHARD",6.7
11X,L85005,SOMERTON SURGERY COX'S YARD SOMERTON,6.6
11X,L85608,PORLOCK MEDICAL CENTRE,6.5
11X,L85607,SOMERSET BRIDGE MEDICAL CENTRE,6.5
11X,L85051,REDGATE MEDICAL CENTRE,6.5
11X,L85019,HARLEY HOUSE SURGERY,6.5
11X,L85062,LYNGFORD PARK,6.4
11X,L85004,"CREWKERNE HEALTH CENTRE, CREWKERNE",6.3
11X,L85010,HIGHBRIDGE MEDICAL CENTRE,6.3
11T,L81043,LONGTON GROVE SURGERY,7.1
11T,L81119,CLARENCE PARK SURGERY,6.7
11T,L81670,LOCALITY HEALTH CENTRE,6.6
11T,Y02580,WESTON GP HEALTHCARE CENTRE,6.5
11T,L81051,NEW COURT SURGERY,6.4
11T,L81085,HEYWOOD FAMILY PRACTICE,6.0
11T,L81102,SUNNYSIDE SURGERY,5.8
11T,L81116,THE GREEN PRACTICE,5.7
11T,L81643,THE CEDARS SURGERY,5.7
11T,L81040,CLEVEDON RIVERSIDE GROUP,5.6
11N,L82620,HARRIS MEMORIAL SURGERY,7.9
11N,L82014,TREVITHICK SURGERY,7.3
11N,L82008,STRATTON THE MEDICAL CENTRE,7.1
11N,L82044,VEOR SURGERY,7.0
11N,L82038,CAPE CORNWALL SURGERY,7.0
11N,L82618,DR GARROD THE MEDICAL CENTRE,6.9
11N,L82026,ST. BLAZEY SURGERY,6.8
11N,L82025,MEVAGISSEY SURGERY,6.4
11N,L82037,PENSILVA THE HEALTH CENTRE,6.4
11N,L82016,OAK TREE SURGERY,6.3
11M,L84613,STONEHOUSE HEALTH CLINIC,8.9
11M,L84042,LONDON ROAD MEDICAL PRACTICE,8.2
11M,L84001,BARTONGATE SURGERY,7.7
11M,L84069,COLEFORD HEALTH CENTRE,7.7
11M,L84084,BROCKWORTH SURGERY,7.5
11M,L84026,HEATHVILLE ROAD SURGERY,7.4
11M,L84045,MITCHELDEAN SURGERY,7.3
11M,L84606,COLLEGE YARD & HIGHNAM,7.2
11M,L84052,PARK HEALTH CENTRE(WG),7.2
11M,L84024,DRYBROOK SURGERY,7.1
11J,J81064,POOLE TOWN SURGERY,7.5
11J,J81648,DR NEWMAN,7.3
11J,J81045,KINSON ROAD MEDICAL CENTRE,7.3
11J,J81063,DURDELLS AVENUE SURGERY,7.3
11J,J81640,VILLAGE MEDICAL PRACTICE,7.3
11J,J81028,HIGHCLIFFE MEDICAL CENTRE,7.1
11J,J81038,NORTHBOURNE SURGERY,7.0
11J,J81631,SANDFORD SURGERY,7.0
11J,J81090,THE LANEHOUSE SURGERY,6.9
11J,J81057,FARMHOUSE SURGERY,6.8
11H,L81648,THE MAYTREES PRACTICE,8.5
11H,L81015,SEYMOUR MEDICAL PRACTICE,7.8
11H,L81658,SUSSEX PLACE SURGERY,7.1
11H,L81009,STOCKWOOD MEDICAL CENTRE,6.9
11H,L81041,HILLVIEW FAMILY PRACTICE,6.7
11H,L81054,GRANGE ROAD SURGERY,6.5
11H,L81094,THE MERRYWOOD PRACTICE,6.4
11H,L81099,RIDINGLEAZE MEDICAL CENTRE,6.2
11H,L81032,THE WEDMORE PRACTICE,6.2
11H,L81089,LAWRENCE HILL HEALTH CENTRE,6.1
11E,L81064,TEMPLE HOUSE PRACTICE,6.1
11E,L81122,ST. MARY'S SURGERY,6.0
11E,L81069,ST. MICHAEL'S SURGERY,5.9
11E,L81025,ST. CHADS SURGERY,5.6
11E,L81059,ELM HAYES SURGERY,5.5
11E,L81101,SOMERTON HOUSE SURGERY,5.5
11E,L81049,NUMBER 18 SURGERY,5.3
11E,L81073,WEST VIEW SURGERY,5.2
11E,L81080,ST. JAMES'S SURGERY,5.2
11E,L81010,HOPE HOUSE SURGERY,5.1
11D,K81051,WOODLEY PRACTICE,5.0
11D,K81069,LODDON VALE PRACTICE,5.0
11D,K81638,BURMA HILL PRACTICE,4.8
11D,K81622,WILDERNESS PRACTICE,4.5
11D,K81045,PARKSIDE PRACTICE,4.5
11D,K81003,SWALLOWFIELD PRACTICE,4.2
11D,K81047,BROOKSIDE PRACTICE,4.0
11D,K81025,FINCHAMPSTEAD PRACTICE,4.0
11D,K81070,TWYFORD PRACTICE,3.9
11D,K81080,THE NEW SURGERY,3.8
11C,K81655,RADNOR HOUSE SURGERY,6.1
11C,K81015,WOODLANDS PARK SURGERY,5.6
11C,K81667,TAPLOW HEALTH CENTRE,5.6
11C,K81021,DATCHET HEALTH CENTRE,5.4
11C,K81097,REDWOOD HOUSE SURGERY,5.2
11C,K81046,LEE HOUSE SURGERY,5.1
11C,K81036,THE CEDARS SURGERY,5.0
11C,K81091,HOLYPORT SURGERY,4.8
11C,H81047,RUNNYMEDE MEDICAL PRACTICE,4.8
11C,K81068,SHEET STREET SURGERY,4.6
11A,J82029,NEW MILTON HEALTH CENTRE,6.6
11A,J82620,LEIGHSIDE PRACTICE,6.2
11A,J82214,WHITCHURCH SURGERY,6.1
11A,J82156,WATERFRONT AND SOLENT SURGERY,5.9
11A,J82132,TESTVALE SURGERY,5.8
11A,J82008,WEST END SURGERY,5.8
11A,J82075,CHAWTON HOUSE SURGERY,5.8
11A,J82097,TOTTON HEALTH CENTRE,5.7
11A,J82007,THE ARNEWOOD PRACTICE MILTON MEDICAL CENTRE,5.6
11A,J82039,RINGWOOD MEDICAL CENTRE,5.6
10Y,K82014,OAKFIELD SURGERY,6.4
10Y,K82019,THE MANDEVILLE PRACTICE,6.1
10Y,K82040,WHITEHILL SURGERY,5.8
10Y,K82034,WELLINGTON HOUSE SURGERY,5.8
10Y,K82038,POPLAR GROVE PRACTICE,5.6
10Y,K82043,NORDEN HOUSE SURGERY,5.5
10Y,K82068,WADDESDON SURGERY,5.5
10Y,K82018,MEADOWCROFT SURGERY,4.9
10Y,K82073,WESTONGROVE PARTNERSHIP,4.7
10Y,K82061,ASHCROFT SURGERY,4.6
10X,J82651,SPITFIRE COURT SURGERY,7.5
10X,Y02838,ADELAIDE GP SURGERY,6.7
10X,J82040,WEST END ROAD SURGERY,6.5
10X,J82024,NICHOLS TOWN SURGERY,6.5
10X,J82002,LORDSHILL HEALTH CENTRE,6.5
10X,J82141,BATH LODGE PRACTICE,6.3
10X,J82092,ALDERMOOR SURGERY,6.2
10X,J82122,ALMA ROAD SURGERY,6.2
10X,J82619,LINFIELD SURGERY,6.2
10X,J82187,WESTON LANE SURGERY,6.1
10W,K81613,KENNET SURGERY,7.8
10W,K81026,CHATHAM STREET SURGERY,6.6
10W,K81072,LONDON ROAD SURGERY,6.5
10W,K81048,LONG BARN LANE SURGERY,5.5
10W,K81101,MILMAN ROAD SURGERY DR KUMAR,5.5
10W,K81040,MILMAN ROAD SURGERY DR LISTER,5.4
10W,K81078,GROVELANDS MEDICAL CENTRE,5.2
10W,K81056,WESTWOOD ROAD SURGERY,4.9
10W,K81633,SOUTH READING SURGERY,4.9
10W,K81044,MELROSE SURGERY DR FAB WILLIAMS,4.7
10V,J82210,THE ELMS PRACTICE,8.3
10V,J82657,GREYWELLS MEDICAL CENTRE,8.2
10V,J82650,MIDDLE PARK MEDICAL CENTRE,7.1
10V,J82021,WATERSIDE MEDICAL PRACTICE,6.8
10V,J82032,THE CURLEW PRACTICE,6.7
10V,J82093,STAKES LODGE SURGERY,6.6
10V,J82609,QUEENSWOOD SURGERY,6.4
10V,J82041,THE STAUNTON SURGERY,6.2
10V,J82196,THE HOMEWELL PRACTICE,6.2
10V,J82010,THE BOSMERE MEDICAL PRACTICE,6.1
10T,K81608,DR NABI,9.4
10T,K81083,BHARANI MEDICAL CENTRE,9.4
10T,K81005,WEXHAM ROAD SURGERY,9.2
10T,K81039,THE AVENUE MEDICAL CENTRE,8.0
10T,K81024,LANGLEY HEALTH CENTRE,7.7
10T,K81645,240 WEXHAM ROAD,7.6
10T,K81043,HERSCHEL MEDICAL CENTRE,6.9
10T,K81034,CROSBY HOUSE SURGERY,6.8
10T,K81075,FARNHAM ROAD PRACTICE,6.2
10T,K81089,DR BURDEN,5.9
10R,J82060,DR TUTTE & PARTNER,6.9
10R,J82086,DR KLEMENZ & PARTNERS,6.5
10R,J82085,DR ROBINSON & PARTNERS,6.5
10R,J82004,DR ATCHISON & PARTNERS,6.4
10R,J82038,DR ALLCOCK & PARTNERS,6.3
10R,J82155,PORTSDOWN GROUP PRACTICE,6.1
10R,J82194,MILTON PARK PRACTICE,6.0
10R,J82031,DR CG WADE,6.0
10R,J82117,THE HANWAY GROUP PRACTICE,5.9
10R,J82177,JOHN POUNDS SURGERY,5.8
10Q,K84045,GOSFORD HILL MEDICAL CENTRE,6.5
10Q,K84023,BERINSFIELD HEALTH CENTRE,6.4
10Q,K84032,BARTLEMAS SURGERY,6.2
10Q,K84031,THE LEYS HEALTH CENTRE,6.2
10Q,K84038,MONTGOMERY HOUSE SURGERY,6.1
10Q,K84608,DONNINGTON HEALTH CENTRE (MEHTA),6.0
10Q,K84004,DR ANSCOMBE AND PARTNERS,5.8
10Q,K84024,WINDRUSH SURGERY,5.7
10Q,K84082,DR PANDHER & EVANS AND PARTNERS,5.6
10Q,K84033,CHURCH STREET PRACTICE,5.5
10N,K81067,CIRCUIT LANE SURGERY,5.5
10N,K81004,TILEHURST SURGERY,4.7
10N,K81041,EMMER GREEN SURGERY,4.6
10N,K81077,THEALE MEDICAL CENTRE,4.6
10N,K81027,MORTIMER SURGERY,4.2
10N,K81062,WESTERN ELMS SURGERY,3.9
10N,K81014,BALMORE PARK SURGERY,3.8
10N,K81054,PRIORY AVENUE SURGERY,3.6
10N,K81012,THE BOAT HOUSE SURGERY,3.5
10N,K81647,PEPPARD ROAD SURGERY,2.6
10M,K81052,LAMBOURN SURGERY,4.7
10M,K81073,THATCHAM HEALTH CENTRE,4.5
10M,K81017,FALKLAND SURGERY,4.2
10M,K81057,HUNGERFORD SURGERY,4.2
10M,K81002,EASTFIELD HOUSE SURGERY,4.0
10M,K81063,ST. MARY'S ROAD SURGERY,4.0
10M,J82054,KINTBURY & WOOLTON HILL SURGERY,3.9
10M,K81103,CHAPEL ROW SURGERY,3.7
10M,K81061,NORTHCROFT SURGERY,3.7
10M,K81102,BURDWOOD SURGERY,3.4
10L,J84016,SOUTH WIGHT MEDICAL PRACTICE,6.7
10L,J84008,ARGYLL HOUSE,6.6
10L,J84013,SANDOWN HEALTH CENTRE,6.4
10L,J84017,MEDINA HEALTHCARE,6.3
10L,J84007,ST. HELENS MEDICAL CENTRE,6.2
10L,J84010,SHANKLIN MEDICAL CENTRE,6.2
10L,J84602,GARFIELD ROAD SURGERY,6.0
10L,J84004,EAST COWES HEALTH CENTRE,6.0
10L,J84005,ESPLANADE SURGERY,5.5
10L,J84019,BROOKSIDE HEALTH CENTRE,5.4
10K,J82083,STOKE ROAD MEDICAL CENTRE,6.9
10K,J82127,BRUNE MEDICAL CENTRE,6.9
10K,J82215,LEE-ON-THE-SOLENT HEALTH CENTRE,6.8
10K,J82133,BROCKHURST MEDICAL CENTRE,6.2
10K,J82026,CENTRE PRACTICE,6.2
10K,J82100,FORTON MEDICAL CENTRE,6.0
10K,J82648,MANOR WAY SURGERY,6.0
10K,J82104,STUBBINGTON MEDICAL PRACTICE,5.9
10K,J82084,BURY ROAD SURGERY,5.9
10K,J82012,PORTCHESTER PRACTICE,5.9
10J,J82077,THE BERMUDA PRACTICE,6.7
10J,J82157,WILSON PRACTICE,6.5
10J,J82058,BRAMBLYS GRANGE MEDICAL PRACTICE,6.4
10J,J82094,TADLEY MEDICAL PARTNERSHIP,5.7
10J,J82123,HACKWOOD PARTNERSHIP,5.6
10J,J82069,GILLIES & OVERBRIDGE MEDICAL PARTNERSHIP,5.6
10J,J82625,BOUNDARIES SURGERY,5.6
10J,J82144,CROWN HEIGHTS MEDICAL CENTRE,5.6
10J,J82046,OAKLEY & OVERTON PARTNERSHIP,5.3
10J,J82065,SOUTH HAM SURGERY,5.2
10H,K82603,THE PRACTICE HANOVER HOUSE,8.6
10H,K82030,WYE VALLEY SURGERY,7.3
10H,K82058,GLADSTONE ROAD SURGERY,7.2
10H,K82036,RIVERSIDE SURGERY,7.0
10H,K82080,DENHAM GREEN SURGERY,6.5
10H,K82055,DENHAM MEDICAL CENTRE,6.1
10H,K82006,IVER MEDICAL CENTRE,5.9
10H,K82056,LANE END SURGERY,5.5
10H,K82017,DESBOROUGH SURGERY,5.4
10H,K82022,KINGSWOOD SURGERY,5.3
10G,K81023,HEATH HILL SURGERY,5.6
10G,K81094,GREAT HOLLANDS PRACTICE,5.5
10G,K81032,BOUNDARY HOUSE SURGERY,5.3
10G,K81030,RINGMEAD MEDICAL PRACTICE,5.2
10G,K81059,THE GAINSBOROUGH PRACTICE,5.1
10G,K81006,THE SANDHURST GROUP PRACTICE,5.0
10G,K81001,THE WATERFIELD PRACTICE,4.9
10G,K81076,GREEN MEADOWS PARTNERSHIP,4.6
10G,K81610,FOREST END MEDICAL PRACTICE,4.4
10G,K81087,EASTHAMPSTEAD SURGERY,4.2
10E,G82810,GARLINGE SURGERY,8.1
10E,G82666,BIRCHINGTON MEDICAL CENTRE,7.4
10E,G82219,ST. PETER'S SURGERY,7.1
10E,G82630,THE BROADWAY PRACTICE,7.1
10E,G82046,SUMMERHILL SURGERY,7.1
10E,G82105,BETHESDA MEDICAL CENTRE,7.0
10E,G82079,WESTGATE SURGERY,7.0
10E,G82052,THE LIMES,7.0
10E,G82107,MINSTER SURGERY,7.0
10E,G82796,THE ALBION ROAD SURGERY,6.8
10D,G82057,ST. GEORGES MEDICAL CENTRE,9.0
10D,G82682,THE OM MEDICAL CENTRE,8.4
10D,G82799,DR SRS MURTHY PRACTICE,8.3
10D,G82686,MINSTER MEDICAL CENTRE,7.9
10D,G82023,DR MME FAHMY PRACTICE,7.8
10D,G82757,LAKESIDE MEDICAL CENTRE,7.3
10D,G82687,DR SJ WITT'S PRACTICE,7.2
10D,G82667,TEYNHAM MEDICAL CENTRE,7.1
10D,G82175,DR H BEERSTECHER PRACTICE,7.0
10D,G82634,SAFFRON WAY HEALTH CENTRE,6.5
10C,H81622,OLD DEAN SURGERY,7.5
10C,H81040,STATION ROAD SURGERY,6.0
10C,H81013,FRIMLEY GREEN MEDICAL CENTRE,5.3
10C,H81075,UPPER GORDON ROAD SURGERY,4.7
10C,H81082,CAMBERLEY HEALTH CENTRE,4.7
